clt_id,Cluster4
52,2
377,2
379,2
380,4
392,1
401,2
403,2
406,1
411,2
413,4
418,2
436,1
439,4
444,2
445,4
449,2
450,4
451,1
456,2
460,4
463,1
464,3
467,2
469,2
478,2
479,4
481,2
484,4
487,2
490,4
491,4
496,2
497,2
501,2
503,2
504,2
507,2
509,2
510,2
512,1
515,2
517,2
519,4
522,2
523,2
524,2
525,2
528,2
529,2
534,3
535,2
537,2
541,3
544,3
549,2
553,1
554,2
558,2
559,4
561,2
562,2
564,2
565,2
571,3
573,3
574,4
575,4
582,1
585,3
586,2
587,2
588,2
590,2
591,1
592,1
595,2
596,2
602,2
603,2
605,1
606,3
607,2
610,2
613,2
614,1
615,3
618,2
622,2
623,2
626,2
630,3
631,1
632,2
633,2
634,4
641,2
645,4
646,2
653,4
654,2
655,1
657,2
659,2
663,2
666,4
671,2
674,2
677,2
680,2
684,2
685,2
693,2
695,2
696,2
697,4
704,4
707,3
710,4
719,2
720,2
725,2
728,1
730,4
732,2
733,1
734,4
739,1
740,2
746,2
747,2
751,2
757,2
761,3
764,3
765,2
774,3
780,2
785,2
786,4
787,4
789,1
790,3
792,2
796,2
800,3
804,2
812,2
813,2
814,2
820,2
822,1
832,1
835,4
836,1
838,1
840,3
842,2
843,4
844,1
845,4
846,2
847,2
848,4
849,1
850,2
856,2
861,4
863,4
868,1
871,2
874,4
876,2
880,3
882,2
884,4
885,1
887,4
889,2
892,4
893,2
897,1
900,4
901,1
902,2
903,4
905,4
912,2
916,3
918,4
930,3
933,1
936,2
938,1
939,2
940,4
943,1
944,1
948,2
949,2
952,1
955,2
956,2
957,2
958,4
961,2
962,4
965,2
967,2
969,3
972,2
973,2
980,3
981,2
982,2
983,4
992,1
996,1
998,2
1002,1
1003,4
1005,4
1009,4
1011,3
1012,3
1017,2
1019,4
1021,2
1023,1
1024,3
1025,1
1026,1
1027,2
1028,2
1029,2
1030,4
1031,2
1033,2
1036,4
1050,4
1063,1
1073,3
1074,1
1076,2
1082,1
1083,4
1084,3
1086,2
1090,4
1093,3
1095,2
1097,2
1103,3
1109,2
1113,1
1114,3
1115,2
1119,1
1122,2
1123,3
1125,3
1126,4
1127,2
1128,2
1130,2
1140,4
1141,4
1142,3
1154,2
1156,2
1157,2
1161,1
1163,2
1165,1
1167,1
1175,4
1176,4
1177,3
1179,4
1181,2
1182,1
1185,1
1186,3
1187,1
1189,4
1191,4
1196,2
1198,3
1199,1
1202,2
1204,2
1207,1
1210,3
1211,4
1213,1
1215,4
1216,2
1217,2
1219,2
1230,2
1231,3
1234,4
1239,2
1241,2
1242,2
1243,4
1244,2
1245,2
1246,3
1247,2
1249,2
1254,2
1255,2
1257,1
1258,3
1261,1
1266,2
1268,3
1271,1
1275,3
1281,2
1282,2
1284,2
1285,2
1286,4
1288,2
1290,3
1296,3
1297,2
1298,3
1299,2
1304,4
1308,2
1309,1
1310,2
1311,2
1315,4
1316,4
1317,4
1319,3
1323,1
1332,2
1333,2
1335,1
1337,2
1339,3
1342,1
1343,2
1348,2
1349,1
1350,1
1353,4
1354,4
1360,2
1362,1
1365,2
1366,4
1367,2
1370,2
1373,2
1375,2
1376,2
1377,2
1378,2
1381,2
1382,4
1384,4
1387,1
1388,2
1389,2
1390,3
1391,2
1392,4
1393,2
1394,1
1395,1
1397,2
1398,4
1399,2
1400,4
1401,3
1406,4
1407,1
1408,2
1410,4
1411,2
1415,4
1417,2
1418,2
1419,2
1422,3
1423,3
1424,1
1426,2
1434,4
1435,2
1436,2
1440,2
1441,2
1443,1
1445,2
1446,2
1449,2
1450,2
1451,2
1453,2
1455,2
1456,1
1457,2
1459,3
1463,4
1464,3
1466,3
1471,3
1473,1
1475,1
1477,1
1481,1
1482,1
1492,4
1497,2
1499,1
1513,2
1516,2
1520,2
1524,4
1525,2
1535,2
1536,2
1539,4
1540,3
1541,4
1543,3
1544,1
1545,2
1547,3
1548,3
1550,4
1551,2
1553,2
1554,2
1562,2
1563,3
1564,2
1565,2
1566,4
1567,4
1568,4
1569,1
1575,2
1578,2
1584,2
1586,1
1587,2
1592,4
1598,2
1601,2
1605,4
1607,2
1609,3
1612,3
1613,2
1616,3
1618,1
1619,2
1620,2
1621,1
1627,2
1628,2
1631,2
1632,2
1636,2
1639,3
1640,4
1642,2
1643,2
1645,1
1646,2
1648,2
1653,4
1657,2
1662,1
1663,1
1664,2
1667,1
1668,2
1671,2
1685,4
1686,2
1688,4
1692,4
1693,4
1696,2
1697,2
1699,1
1700,2
1704,1
1711,2
1713,1
1714,2
1715,1
1716,2
1720,1
1726,1
1727,3
1729,2
1730,2
1731,2
1735,2
1738,4
1739,2
1740,4
1741,2
1742,2
1746,2
1749,2
1750,4
1756,1
1757,2
1761,2
1762,2
1763,2
1764,2
1766,2
1768,2
1771,1
1772,2
1775,4
1777,4
1778,4
1781,2
1783,4
1787,4
1789,1
1791,3
1793,2
1794,4
1797,4
1801,2
1809,3
1810,2
1812,2
1821,2
1824,2
1826,4
1829,2
1832,3
1836,1
1837,1
1840,1
1844,2
1847,2
1850,2
1855,4
1859,1
1860,4
1862,2
1866,2
1870,2
1871,2
1873,1
1875,2
1878,2
1880,4
1890,3
1895,2
1897,2
1899,2
1901,4
1903,4
1904,2
1907,4
1910,3
1912,2
1913,4
1914,2
1915,3
1917,1
1918,1
1920,2
1921,3
1924,4
1926,2
1927,2
1929,3
1930,2
1941,1
1943,4
1946,4
1950,1
1956,1
1957,3
1964,2
1965,2
1966,2
1967,2
1971,4
1973,2
1974,4
1975,2
1976,2
1977,2
1978,2
1979,3
1982,2
1986,2
1988,4
1991,2
1994,3
1996,1
1998,2
1999,4
2000,2
2001,2
2003,1
2004,4
2011,4
2012,1
2013,2
2016,1
2017,4
2022,4
2023,1
2024,2
2027,2
2028,2
2029,2
2031,3
2034,3
2036,2
2037,2
2039,2
2040,1
2041,2
2049,2
2057,1
2060,4
2064,2
2065,4
2066,2
2067,1
2071,2
2073,4
2079,1
2080,2
2081,2
2084,2
2085,4
2086,2
2090,4
2091,3
2093,2
2094,2
2102,2
2106,2
2107,4
2112,1
2119,2
2122,2
2124,4
2127,2
2128,2
2130,4
2133,2
2135,4
2136,1
2138,2
2140,1
2141,2
2142,4
2146,2
2147,3
2148,2
2151,2
2153,1
2154,2
2158,2
2160,2
2170,4
2171,3
2175,2
2181,4
2185,1
2193,3
2195,3
2196,4
2199,4
2203,2
2204,4
2214,3
2215,2
2216,3
2217,2
2221,1
2223,1
2224,3
2225,2
2229,2
2231,2
2233,2
2234,3
2235,1
2236,2
2239,4
